image_id,eventType,GazeEventDuration
C17,eye_tracker,150
C17,eye_tracker,217
C14,mouse_move,925
C17,eye_tracker,333
C14,mouse_move,358
C17,eye_tracker,75
C14,,117
C14,,67
C17,eye_tracker,225
C17,eye_tracker,308
C17,eye_tracker,267
C14,,67
C17,eye_tracker,292
C14,mouse_move,75
C14,mouse_scroll,192
C17,eye_tracker,517
C17,eye_tracker,142
C14,mouse_scroll,400
C14,update_frame,300
C17,eye_tracker,483
C14,mouse_scroll,175
C14,,142
C14,mouse_move,83
C17,eye_tracker,75
C17,update_frame,225
C17,eye_tracker,167
C17,eye_tracker,458
C17,eye_tracker,208
C17,eye_tracker,158
C17,mouse_drag,242
C17,eye_tracker,233
C17,eye_tracker,192
C17,eye_tracker,267
C17,mouse_move,217
C17,update_frame,225
C17,mouse_drag,350
C17,eye_tracker,283
C17,eye_tracker,158
C17,eye_tracker,167
C17,mouse_drag,92
C17,mouse_move,208
C17,update_frame,83
C14,,217
C17,eye_tracker,125
C17,mouse_move,267
C17,mouse_move,142
C17,eye_tracker,258
C17,eye_tracker,208
C17,eye_tracker,167
C17,mouse_dragend,400
C17,eye_tracker,208
C17,eye_tracker,333
C17,eye_tracker,258
C17,mouse_drag,292
C14,,183
C17,eye_tracker,342
C14,,125
C17,eye_tracker,242
C14,update_frame,317
C17,update_frame,100
C14,,117
C14,update_frame,150
C14,update_frame,83
C17,eye_tracker,333
C14,mouse_scroll,242
C17,eye_tracker,192
C17,eye_tracker,83
C14,mouse_move,183
C17,eye_tracker,117
C14,mouse_move,142
C17,update_frame,242
C14,mouse_move,242
C17,eye_tracker,150
